wics_sub_code,wics_sub_name,sector_code,sub_sector_code,sub_sector_name,source
"G401010","은행","WI500","WI50010","은행","PDF"
"G402010","증권","WI510","WI51010","증권","PDF"
"G403020","창업투자","WI500","WI50020","기타금융","PDF"
"G403030","카드","WI500","WI50020","기타금융","PDF"
"G403040","기타금융","WI500","WI50020","기타금융","PDF"
"G404010","손해보험","WI520","WI52010","보험","PDF"
"G404020","생명보험","WI520","WI52010","보험","PDF"
"G405020","부동산","WI500","WI50020","기타금융","PDF"
"G405510","신용평가서비스","WI500","WI50020","기타금융","PDF"
"G405520","결제관련서비스","WI500","WI50020","기타금융","PDF"
"G451010","인터넷소프트웨어와서비스","WI600","WI60010","소프트웨어","PDF"
"G451020","IT서비스","WI600","WI60010","소프트웨어","PDF"
"G451030","소프트웨어","WI600","WI60010","소프트웨어","PDF"
"G451035","게임소프트웨어와서비스","WI600","WI60020","게임소프트웨어","PDF"
"G452010","통신장비","WI610","WI61010","통신장비","PDF"
"G452015","핸드셋","WI610","WI61020","핸드셋","PDF"
"G452020","컴퓨터와주변기기","WI610","WI61030","컴퓨터","PDF"
"G452030","전자장비와기기","WI610","WI61040","전자장비,사무용전자제품","PDF"
"G452040","사무용전자제품","WI610","WI61040","전자장비,사무용전자제품","PDF"
"G453010","반도체와반도체장비","WI620","WI62010","반도체","PDF"
"G453510","전자제품","WI630","WI63010","전자제품","PDF"
"G453520","전기제품","WI630","WI63020","전기제품","PDF"
"G454010","디스플레이 패널","WI640","WI64010","디스플레이패널","PDF"
"G454020","디스플레이 장비 및 부품","WI640","WI64020","디스플레이장비","PDF"
"G501010","다각화된통신서비스","WI700","WI70010","통신서비스","PDF"
"G501020","무선통신서비스","WI700","WI70010","통신서비스","PDF"
"G551010","전기유틸리티","WI800","WI80010","유틸리티","PDF"
"G551020","가스유틸리티","WI800","WI80010","유틸리티","PDF"
"G551030","복합유틸리티","WI800","WI80010","유틸리티","PDF"
"G551050","독립전력생산및에너지거래","WI800","WI80010","유틸리티","PDF"
"G502010","광고","WI330","WI33010","미디어","BRIDGE:G254010"
"G502020","방송과엔터테인먼트","WI330","WI33010","미디어","BRIDGE:G254020"
"G502030","출판","WI330","WI33010","미디어","BRIDGE:G254030"
"G502040","게임엔터테인먼트","WI600","WI60020","게임소프트웨어","BRIDGE:G451035"
"G502050","양방향미디어와서비스","WI600","WI60010","소프트웨어","BRIDGE:G451010"
